Subtitle,In naam van de Koning! / Wie bouwt het mooiste koninkrijk?
Subtitle translated,In the name of the king / Who builds the biggest kingdom
Dominion,Dominion
Intrigue,Intrige
Seaside,Hijs de Zeilen
Alchemy,De Alchemisten
Prosperity,Welvaart
Cornucopia,Overvloed
Hinterlands,Het Achterland
Dark Ages,De Donkere Middeleeuwen
Guilds,De Gilden
Adventures,Avonturen
Empires,Keizerrijken
Nocturne,Nocturne
Renaissance,Renaissance
Menagerie,Menagerie
Copper,Koper
Silver,Zilver
Gold,Goud
Estate,Landgoed
Duchy,Hertogdom
Province,Provincie
Curse,Vloek
Trash,Vernietigde Kaarten
Cellar,Kelder
Chapel,Kapel
Moat,Slotgracht
Chancellor,Raadsheer
Harbinger,Voorbode
Merchant,Koopman
Vassal,Vazal
Village,Dorp
Woodcutter,Houthakker
Workshop,Werkplaats
Bureaucrat,Bureaucraat
Feast,Feest
Gardens,Tuinen
Militia,Militie
Moneylender,Geldschieter
Poacher,Wilddief
Remodel,Verbouwing
Smithy,Smidse
Spy,Spion
Thief,Dief
Throne Room,Troonzaal
Bandit,Bandiet
Council Room,Raadszaal
Festival,Festival
Laboratory,Laboratorium
Library,Bibliotheek
Market,Markt
Mine,Mijn
Sentry,Cipier
Witch,Heks
Adventurer,Avonturier
Artisan,Ambachtsman
Courtyard,Binnenplaats
Lurker,Voyeur
Pawn,Pion
Secret Chamber,Geheime Kamer
Great Hall,Grote Zaal
Masquerade,Maskerade
Shanty Town,Sloppenwijk
Steward,Lakei
Swindler,Oplichter
Wishing Well,Wensput
Baron,Baron
Bridge,Brug
Conspirator,Samenzweerder
Coppersmith,Kopersmid
Diplomat,Diplomaat
Ironworks,Ijzergieterij
Mill,Molen
Mining Village,Mijndorp
Secret Passage,Geheime Doorgang
Scout,Verkenner
Courtier,Makelaar
Duke,Hertog
Minion,Dienaar
Patrol,Patrouille
Replace,Vervanging
Saboteur,Saboteur
Torturer,Folteraar
Trading Post,Handelspost
Tribute,Tolheffing
Upgrade,Opwaardering
Harem,Harem
Nobles,Adel
Embargo,Embargo
Haven,Haven
Lighthouse,Vuurtoren
Native Village,Inheems Dorp
Pearl Diver,Parelduiker
Ambassador,Boodschapper
Fishing Village,Vissersdorp
Lookout,Uitkijk
Smugglers,Smokkelaar
Warehouse,Pakhuis
Caravan,Karavaan
Cutpurse,Beurzensnijder
Island,Eiland
Navigator,Navigator
Pirate Ship,Piratenschip
Salvager,Afvalverwerker
Sea Hag,Zeeheks
Treasure Map,Schatkaart
Bazaar,Bazaar
Explorer,Ontdekkingsreiziger
Ghost Ship,De Vliegende Hollander
Merchant Ship,Handelsschip
Outpost,Voorpost
Tactician,Strateeg
Treasury,Schatkamer
Wharf,Scheepswerf
Transmute,Transformatie
Vineyard,Wijnberg
Herbalist,Kruidenexpert
Apothecary,Apotheker
Scrying Pool,Visioen
University,Universiteit
Alchemist,Alchemist
Familiar,Oude bekende
Philosopher's Stone,Steen der wijzen
Potion,Toverdrank
Golem,Golem
Apprentice,Leerling
Possession,Bezeten
Loan,Lening
Trade Route,Handelsroute
Watchtower,Uitkijktoren
Bishop,Bisschop
Monument,Monument
Quarry,Steengroeve
Talisman,Talisman
Worker's Village,Arbeidersdorp
City,Stad
Contraband,Smokkelwaar
Counting House,Boekhouding
Mint,Aanmunten
Mountebank,Charlatan
Rabble,Gespuis
Royal Seal,Koninklijk zegel
Vault,Schatkelder
Venture,Waagstuk
Goons,Domkoppen
Grand Market,Grote markt
Hoard,Spaargeld
Bank,Bank
Expand,Uitbreiden
Forge,Vervalsen
King's Court,Koningshof
Peddler,Venter
Platinum,Platina
Colony,Kolonie
Bag of Gold,Zak met goud
Diadem,Tiara
Followers,Volgelingen
Princess,Prinses
Trusty Steed,Trouwe ros
Hamlet,Gehucht
Fortune Teller,Waarzegster
Menagerie,Menagerie
Farming Village,Boerendorp
Horse Traders,Paardenhandelaars
Remake,Nieuwe versie
Tournament,Toernooi
Young Witch,Jonge heks
Harvest,Oogst
Horn of Plenty,Hoorn des overvloeds
Hunting Party,Jachtgezelschap
Jester,Nar
Fairgrounds,Kermisterrein
Crossroads,Splitsing
Duchess,Hertogin
Fool's Gold,Klatergoud
Develop,Ontwikkelen
Oasis,Oase
Oracle,Orakel
Scheme,Gekonkel
Tunnel,Tunnel
Jack of all Trades,Manusje-van-alles
Noble Brigand,Nobele bandiet
Nomad Camp,Nomadenkamp
Silk Road,Zijderoute
Spice Merchant,Specerijenkoopman
Trader,Handelaar
Cache,Bewaarplaats
Cartographer,Cartograaf
Embassy,Ambassade
Haggler,Sjacheraar
Highway,Hoofdweg
Ill-Gotten Gains,Gestolen goed
Inn,Herberg
Mandarin,Mandarijn
Margrave,Markgraaf
Stables,Stallen
Border Village,Grensdorp
Farmland,Landbouwgrond
Spoils,Buit
Abandoned Mine,Verlaten Mijn
Ruined Library,Ingestorte Bibliotheek
Ruined Market,Verwoeste Markt
Ruined Village,Vernield Dorp
Survivors,Overlevenden
Hovel,Hutje
Necropolis,Necropolis
Overgrown Estate,Verwilderd Landgoed
Poor House,Armenhuis
Beggar,Bedelaar
Squire,Schildknaap
Vagrant,Landloper
Forager,Jager-Verzamelaar
Hermit,Kluizenaar
Madman,Krankzinnige
Market Square,Marktplein
Sage,Wijsgeer
Storeroom,Berghok
Urchin,Straatjongen
Mercenary,Huurling
Armory,Wapenkamer
Death Cart,Dodenkar
Feodum,Feodum
Fortress,Vesting
Ironmonger,Metaalhandelaar
Marauder,Stroper
Procession,Optocht
Rats,Ratten
Scavenger,Scharrelaar
Wandering Minstrel,Reizende Minstreel
Band of Misfits,Groep Mislukkelingen
Bandit Camp,Bandietenkamp
Catacombs,Gewelven
Count,Graaf
Counterfeit,Vals Geld
Cultist,Cultist
Graverobber,Grafrover
Junk Dealer,Opkoper
Knights,Ridders
Dame Anna,Dame Anna
Dame Josephine,Dame Josephine
Dame Molly,Dame Molly
Dame Natalie,Dame Natalie
Dame Sylvia,Dame Sylvia
Sir Bailey,Sir Bailey
Sir Destry,Sir Destry
Sir Martin,Sir Martin
Sir Michael,Sir Michael
Sir Vander,Sir Vander
Mystic,Toverfeeks
Pillage,Plundering
Rebuild,Wederopbouw
Rogue,Schurk
Altar,Altaar
Hunting Grounds,Jachtvelden
